Nested Sampling Global Log-Evidence           :   -0.736671649204056678E+01  +/-    0.271112000018293886E+00
Nested Importance Sampling Global Log-Evidence:   -0.122979027201336812E+02  +/-    0.486307913991077742E-01

Dim No.       Mean        Sigma
   1    0.101214009993477835E+00    0.437189429574390345E-01
   2   -0.196031299075429963E+02    0.602949532179405434E+01
   3    0.534196383409042075E+00    0.277620344300238242E+00
   4    0.119776538394840659E+01    0.258492469320900864E+00
   5    0.104368251107616935E-01    0.403918180126108632E-02
   6    0.151379727737460823E+01    0.974474018438782480E-01
   7   -0.176228764601335675E+01    0.416519779688164504E+00
   8   -0.583561179354736628E-01    0.720799833922855931E-01
   9   -0.219164132080397867E+01    0.348445597213562097E+01
  10   -0.161385373854021352E+00    0.164854527094716319E+00
  11   -0.165636616887786386E-01    0.128852713474239516E+00
  12   -0.223867920155008615E+00    0.207870741403691828E+00
  13   -0.365489127043982500E-02    0.132735504721507636E+00
  14   -0.105347957155888983E+01    0.481663113623069378E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.872187985384198783E-01
   2   -0.122597596721352158E+02
   3    0.696461876531387469E+00
   4    0.111069974782518699E+01
   5    0.109630869477720418E-01
   6    0.144577268215881327E+01
   7   -0.145434347317862755E+01
   8   -0.298734669326966087E-01
   9   -0.139782714160069510E+01
  10   -0.395621353709683654E+00
  11    0.807192903349272795E-01
  12   -0.268144119763298050E-01
  13    0.125038138158112822E-01
  14   -0.107970795936947939E+01

MAP Parameters
Dim No.        Parameter
   1    0.872187985384198783E-01
   2   -0.122597596721352158E+02
   3    0.696461876531387469E+00
   4    0.111069974782518699E+01
   5    0.109630869477720418E-01
   6    0.144577268215881327E+01
   7   -0.145434347317862755E+01
   8   -0.298734669326966087E-01
   9   -0.139782714160069510E+01
  10   -0.395621353709683654E+00
  11    0.807192903349272795E-01
  12   -0.268144119763298050E-01
  13    0.125038138158112822E-01
  14   -0.107970795936947939E+01
