Nested Sampling Global Log-Evidence           :   -0.244338888746123040E+02  +/-    0.515306734397823818E+00
Nested Importance Sampling Global Log-Evidence:   -0.294573775282295003E+02  +/-    0.544061011175322393E-01

Dim No.       Mean        Sigma
   1    0.205760723419925240E+00    0.378862216461946441E-01
   2   -0.199078862242603876E+02    0.760453839838321954E+01
   3    0.161314401234700289E+01    0.322465478599252703E-01
   4    0.155172212006624610E+01    0.329475576735073383E+00
   5    0.100427264816855492E-01    0.318801041537118126E-02
   6    0.165720277781220782E+01    0.289997015080443010E+00
   7   -0.185145282110535736E+01    0.389463409378598746E+00
   8   -0.216510367337017562E+00    0.512967041326290660E-01
   9   -0.428670548950289554E+01    0.340126921457392672E+01
  10    0.569199262039279535E-01    0.606097434433165230E-01
  11   -0.188950528559805597E-01    0.132922662000583891E+00
  12    0.634209840836176021E-02    0.187010993071212855E+00
  13   -0.230194548922835973E+00    0.218846241728664737E+00
  14   -0.106406216601726045E+01    0.499548880275844653E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.236868828831991451E+00
   2   -0.216397866993827463E+02
   3    0.160173873226819818E+01
   4    0.137851405324887932E+01
   5    0.905347560796191872E-02
   6    0.156631827524870637E+01
   7   -0.169816208995927820E+01
   8   -0.212317924835032645E+00
   9   -0.311900242849587173E+01
  10    0.481474005873271937E-01
  11   -0.442774093075590097E-01
  12    0.564740128974660915E-01
  13   -0.457440435442865334E+00
  14   -0.110252378732585288E+01

MAP Parameters
Dim No.        Parameter
   1    0.236868828831991451E+00
   2   -0.216397866993827463E+02
   3    0.160173873226819818E+01
   4    0.137851405324887932E+01
   5    0.905347560796191872E-02
   6    0.156631827524870637E+01
   7   -0.169816208995927820E+01
   8   -0.212317924835032645E+00
   9   -0.311900242849587173E+01
  10    0.481474005873271937E-01
  11   -0.442774093075590097E-01
  12    0.564740128974660915E-01
  13   -0.457440435442865334E+00
  14   -0.110252378732585288E+01
