Nested Sampling Global Log-Evidence           :   -0.201706891836343090E+02  +/-    0.420890599587403269E+00
Nested Importance Sampling Global Log-Evidence:   -0.248156033630702701E+02  +/-    0.381181944278853532E-01

Dim No.       Mean        Sigma
   1    0.839312391620834902E-01    0.257297973993727870E-01
   2   -0.192735934685679844E+02    0.192431016459590154E+01
   3    0.696467973585788269E+00    0.188999907133428680E+00
   4    0.976464114944957107E+00    0.286861768521597782E+00
   5    0.938493110032049757E-02    0.417830544200435174E-02
   6    0.201894079322653353E+01    0.310291057487960195E-01
   7   -0.177114387519857375E+01    0.427915614002427058E+00
   8   -0.723373093102149950E-01    0.340352856447559415E-01
   9   -0.515737839683363308E+01    0.240329120762041759E+01
  10   -0.234118262026145385E+00    0.170427281902979622E+00
  11   -0.852949935582836966E-01    0.142224217543992171E+00
  12   -0.241377296428127941E+00    0.231262555200271225E+00
  13    0.945563658682115407E-02    0.449561664988015128E-01
  14   -0.106118724856087865E+01    0.536436650850614441E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.773885020524318623E-01
   2   -0.186082806623488182E+02
   3    0.709316729494925413E+00
   4    0.101771925983510081E+01
   5    0.884286757510661936E-02
   6    0.202580195871595725E+01
   7   -0.211816640210787899E+01
   8   -0.669653721582156025E-01
   9   -0.639880402242522095E+01
  10   -0.149667784068586662E+00
  11   -0.125939817855854314E+00
  12   -0.217089274227354939E+00
  13    0.107616135156338444E-01
  14   -0.108618394093401260E+01

MAP Parameters
Dim No.        Parameter
   1    0.773885020524318623E-01
   2   -0.186082806623488182E+02
   3    0.709316729494925413E+00
   4    0.101771925983510081E+01
   5    0.884286757510661936E-02
   6    0.202580195871595725E+01
   7   -0.211816640210787899E+01
   8   -0.669653721582156025E-01
   9   -0.639880402242522095E+01
  10   -0.149667784068586662E+00
  11   -0.125939817855854314E+00
  12   -0.217089274227354939E+00
  13    0.107616135156338444E-01
  14   -0.108618394093401260E+01
