# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 14:18:52
#
# Requested input R.A. = 207.68292083333333 degrees
# Requested input Dec. = -2.506947222222222 degrees
# Requested JD start = 2458426.97599537 days
# Requested JD end = 2459026.97599537 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 425 10 3 ZTF_r 695545203915 0 2.3709 247.874 13.5998 26.1526 1.09714e-05 0.0326222 0.109117 1.91385e-05 577 30. 0.086001 0.065943 19.3624 26.1526 2 2458450.0452083 425120239 82.0770649294058 65.0635058259174 1.4032632707786 1.02493374113826 144.449986432326 112.337961927401 1.29451222816242 1.04864621673267 2.56720435559902 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
 1 425 10 3 ZTF_r 695550183915 0 3.0577 251.791 13.6539 26.1591 2.79585e-05 0.050816 0.123182 4.97844e-05 549 30. 0.093326 0.067115 19.1505 26.1591 2 2458450.0501852 425120239 -22.2172195967316 80.8495909758968 -0.305679758538208 0.947124124022043 -132.313129876723 118.512391522975 -1.1239691032076 1.08211374562516 2.56720435559902 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
 2 425 10 3 ZTF_r 695555173915 0 2.344 255.202 14.5328 26.1725 1.089e-05 0.0323283 0.109883 1.89205e-05 571 30. 0.075681 0.055734 19.3081 26.1725 2 2458450.0551736 425120239 16.5816478134298 66.8430393111362 0.275947395270714 1.06800514916234 -48.698006034467 114.841349735017 -0.426901895702776 1.056314146987 2.56720435559902 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
 3 425 10 3 ZTF_r 695560163915 0 2.4098 259.797 17.7002 26.1926 1.54297e-05 0.0384702 0.111659 2.70463e-05 565 30. 0.074685 0.052759 19.1125 26.1926 2 2458450.060162 425120239 14.0688744208571 87.1702951420428 0.179533557987342 0.960352636991567 10.0841305011855 149.489106304128 0.067911622132831 1.05798418518865 2.56720435559902 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
 4 425 10 3 ZTF_r 696545313915 0 2.4587 251.512 11.9714 26.1532 1.7022e-05 0.040496 0.11718 2.95833e-05 577 30. 0.090712 0.078974 19.4513 26.1532 2 2458451.0453125 425120239 -2.51892996379118 65.217149751887 -0.0429644324425666 0.979912663829182 -157.621791620674 108.529263165403 -1.4621253183499 1.06096317987902 2.56720435559902 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
 5 425 10 3 ZTF_r 696550093915 0 2.6735 254.061 11.9996 26.167 2.02322e-05 0.0444503 0.114266 3.53574e-05 577 30. 0.085914 0.089114 19.4353 26.167 2 2458451.0500926 425120239 8.2899328837651 64.8657058657109 0.142164338027971 1.03986026492957 -116.547377119849 104.150396518154 -1.12656633419387 1.07331401454666 2.56720435559902 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
 6 425 10 3 ZTF_r 696554863915 0 2.6239 256.198 12.5084 26.1823 2.26782e-05 0.0465888 0.103648 3.9685e-05 573 30. 0.098987 0.083155 19.4001 26.1823 2 2458451.0548611 425120239 158.88016760611 71.5696115154709 2.46942494315621 0.971464229981947 191.946247711947 116.101765467253 1.66439343929185 1.06302441142003 2.56720435559902 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
 7 425 10 3 ZTF_r 696559643915 0 2.4525 257.929 14.5207 26.1887 1.44773e-05 0.0375039 0.116614 2.52565e-05 577 30. 0.06872 0.070463 19.2878 26.1887 2 2458451.0596412 425120239 9.20331535384593 77.3133699296751 0.132417230655446 0.95215276739778 176.426310778374 129.056851046575 1.37625047172458 1.06359882120986 2.56720435559902 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
 8 425 10 3 ZTF_r 702550763915 48 2.7314 16.2482 11.0716 23.1852 0.0030325 0.168723 0.0409836 0.00725237 73 30. 0.085746 0.084642 16.4914 23.1852 2 2458457.0507639 425120239 122.575702986953 62.6252068424372 2.17725862909872 0.946721260524917 204.635484347409 97.2305957589617 2.11881573387546 1.08157261658427 2.56720435559902 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
