# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 13:00:36
#
# Requested input R.A. = 212.680875 degrees
# Requested input Dec. = 58.830850000000005 degrees
# Requested JD start = 2458808.8473148034 days
# Requested JD end = 2459408.8473148034 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 821 1 3 ZTF_i 1075522070315 49 2.6839 99.2002 49.5992 24.5846 0.000260261 0.045272 0.127469 0.000898361 27 90. 0.107085 0.101986 16.2677 24.5846 2 2458830.0220718 1000821130303 -342.19663267926 247.976970959135 -1.53503818025241 1.0078262524958 -281.871705379763 388.96162391957 -0.729558162251083 1.09273805184433 0.083303047530506 17.6619998550415 0.0829999968409538 5.55000019073486 0.465999990701675 2458232.825127 2458975.821204 0
 1 821 1 3 ZTF_i 1076522150315 0 1.9165 647.213 12.607 26.5404 3.4699e-06 0.0213799 0.182768 1.2476e-05 338 90. 0.073145 0.060691 19.9732 26.5404 2 2458831.0221528 1000821130303 -170.341436795728 52.4411065277422 -3.61329367062581 1.01725419730998 -210.16894170493 103.065699498706 -2.05290841325945 1.03495058885155 0.083303047530506 17.6619998550415 0.0829999968409538 5.55000019073486 0.465999990701675 2458232.825127 2458975.821204 0
 2 821 1 3 ZTF_i 1077528110315 0 2.9479 647.603 13.332 26.5062 3.6698e-06 0.0217549 0.186531 1.29908e-05 332 90. 0.088117 0.079335 19.5376 26.5062 2 2458832.0281134 1000821130303 -121.264837562332 76.4798122492877 -1.76377376039866 1.02636653536107 -70.5750573744157 114.680643975005 -0.619549925633901 1.096113879956 0.083303047530506 17.6619998550415 0.0829999968409538 5.55000019073486 0.465999990701675 2458232.825127 2458975.821204 0
 3 821 1 3 ZTF_i 1077529270315 0 2.5229 650.361 13.1501 26.5235 3.8941e-06 0.0224379 0.180582 1.37822e-05 333 90. 0.081935 0.073256 19.683 26.5235 2 2458832.0292708 1000821130303 -225.949892565466 67.2281975971112 -3.73865570346958 0.916086173984308 -269.847860247762 110.507839894148 -2.45833509525137 1.0688653363005 0.083303047530506 17.6619998550415 0.0829999968409538 5.55000019073486 0.465999990701675 2458232.825127 2458975.821204 0
 4 821 1 3 ZTF_r 1079481230315 0 3.7785 167.565 9.97078 25.9839 4.74874e-05 0.0479503 0.0983599 6.7977e-05 314 30. 0.11306 0.089803 19.1371 25.9839 1 2458833.9812384 821120203 16.8189947963251 70.0713778138129 0.26700179446849 1.07191193936149 108.15693150114 90.9698500927077 1.19693914573492 1.17065768760419 0.14151834268706 17.9349998474121 0.0700000002980232 5.19799995422363 0.593999981880188 2458182.874838 2458218.944201 0
 5 821 1 3 ZTF_g 1079546150315 8 5.6439 190.118 9.71173 26.106 8.90532e-05 0.0402548 -0.0279621 0.000206774 116 30. 0.105287 0.084567 18.8861 26.106 1 2458834.0461574 821120103 2.1088420726054 95.2161976956469 0.0246370113666676 0.935804950950106 12.3734796477743 108.119764578311 0.115213123092648 1.44454510262855 0.218317912973257 18.5140001296997 0.0489999987185001 4.48799991607666 0.131999999284744 2458202.788032 2458227.850880 0
 6 821 1 3 ZTF_r 1082512170315 0 1.9077 170.692 7.73282 26.003 1.32278e-05 0.0263332 0.102614 1.90217e-05 330 30. 0.068067 0.060949 19.9958 26.003 1 2458837.0121759 821120203 -27.3590389710696 30.3043612588287 -1.00427003492729 1.02426075010608 -95.1085567885869 58.7756932962553 -1.62905978680681 1.03113627546206 0.14151834268706 17.9349998474121 0.0700000002980232 5.19799995422363 0.593999981880188 2458182.874838 2458218.944201 0
 7 821 1 3 ZTF_g 1082558630315 0 2.7452 195.739 6.7279 26.1594 2.74527e-05 0.0373329 -0.114957 4.18257e-05 312 30. 0.075297 0.064701 20.0321 26.1594 1 2458837.0586343 821120103 -33.2045987860452 30.9322168036699 -1.19410355859017 0.926459001976258 -52.0749150405892 52.6484208494248 -0.995768567103865 1.03289531720353 0.218317912973257 18.5140001296997 0.0489999987185001 4.48799991607666 0.131999999284744 2458202.788032 2458227.850880 0
 8 821 1 3 ZTF_i 1092539710315 0 2.2756 662.76 9.64042 26.552 2.2956e-06 0.0170805 0.18033 8.21208e-06 329 90. 0.072322 0.063792 20.1376 26.552 2 2458847.0397106 1000821130303 -266.29619836583 47.2456496662648 -6.26986142606049 0.935645835355398 -159.123558944525 86.2094530122783 -1.85820997201269 1.0451782550288 0.083303047530506 17.6619998550415 0.0829999968409538 5.55000019073486 0.465999990701675 2458232.825127 2458975.821204 0
