# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 10:12:41
#
# Requested input R.A. = 257.22578749999997 degrees
# Requested input Dec. = -0.40398055555555556 degrees
# Requested JD start = 2460332.9384953934 days
# Requested JD end = 2460932.9384953934 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 432 14 3 ZTF_r 2597519695515 0 2.9228 236.524 8.61599 26.221 6.5454e-06 0.0253537 0.0843154 1.27999e-05 2151 30. 0.081744 0.086461 19.7979 26.221 1 2460352.0196991 432120255 0.0101523617931777 44.5516589451002 0.000253488351380962 1.08467150803804 -1.20069262070068 67.5276164081367 -0.017900518615628 1.07912063679612 4.19480920358892 21.1849998474121 0.128000006079674 2.09200000762939 0.337000012397766 2458216.925671 2458368.627732 0
 1 432 14 3 ZTF_g 2597543575515 0 3.0676 116.721 7.09357 26.2631 6.7772e-06 0.0265677 -0.0245148 1.31324e-05 2139 30. 0.075257 0.087261 20.0532 26.2631 1 2460352.0435764 432120155 27.5792196776355 42.6227015052206 0.719773416269232 0.981476687298773 -9.29232605700706 62.6931606862367 -0.149217399557395 1.11047409290758 null null null null null 2458204.000810 2458337.685266 57
 2 432 14 3 ZTF_g 2599518575515 0 2.3486 116.145 6.87112 26.2257 4.9573e-06 0.0226443 -0.0175309 9.63e-06 2142 30. 0.066797 0.073939 20.2199 26.2257 1 2460354.0185764 432120155 -4.50776966875112 35.3164046278825 -0.1419842050139 1.07169832191586 17.5019183044601 58.7843903929505 0.299735943733202 1.08300808891399 null null null null null 2458204.000810 2458337.685266 57
 3 432 14 3 ZTF_r 2599539155515 0 2.0232 242.968 8.34356 26.2557 2.4208e-06 0.0156457 0.0752085 4.71847e-06 2164 30. 0.059063 0.064896 20.1612 26.2557 1 2460354.0391551 432120255 -23.8973955695816 36.9095905672312 -0.720221606334361 0.953126471339548 -102.759586914479 67.9034258173014 -1.5235119200459 1.05519098682612 4.19480920358892 21.1849998474121 0.128000006079674 2.09200000762939 0.337000012397766 2458216.925671 2458368.627732 0
 4 432 14 3 ZTF_r 2601500005515 0 2.8175 230.747 7.73181 26.206 3.8897e-06 0.0198226 0.0809699 7.565e-06 2159 30. 0.069543 0.082004 19.9687 26.206 1 2460356 432120255 6.22413782137657 43.5788319844373 0.158876043431591 0.966651150809992 -45.4163638015766 66.9813790040184 -0.68261129144659 1.10123616901163 4.19480920358892 21.1849998474121 0.128000006079674 2.09200000762939 0.337000012397766 2458216.925671 2458368.627732 0
 5 432 14 3 ZTF_g 2601524205515 0 2.4658 117.531 6.36798 26.2447 4.9305e-06 0.0225063 -0.0279428 9.59288e-06 2153 30. 0.065787 0.078857 20.2717 26.2447 1 2460356.0242014 432120155 -10.7718816826805 35.0458614087172 -0.341908294319745 0.91650772867322 -21.6135623510397 57.6154844083292 -0.37766116453692 1.08044488517673 null null null null null 2458204.000810 2458337.685266 57
 6 432 14 3 ZTF_r 2609465985515 33554481 3.4879 23.3628 29.5669 24.1067 0.00232936 0.0836073 0.0374007 0.00444218 84 30. 0.109454 0.125617 16.1475 24.1067 1 2460363.9659838 432120255 249.608598699626 202.557508668936 1.37077443567636 1.0167746071844 425.91652203547 268.331311705242 1.59796891235512 1.19425443123435 4.19480920358892 21.1849998474121 0.128000006079674 2.09200000762939 0.337000012397766 2458216.925671 2458368.627732 0
 7 432 14 3 ZTF_g 2609522525515 33554480 3.9548 29.2017 18.8976 24.8172 0.000503512 0.0555582 -0.026232 0.00106681 189 30. 0.105232 0.124571 17.2363 24.8172 1 2460364.0225231 432120155 -83.3320420584759 145.331694820146 -0.637832269169968 0.910610271621487 -137.369109684263 184.215545915568 -0.750720021234745 1.18474316734841 null null null null null 2458204.000810 2458337.685266 57
 8 432 14 3 ZTF_g 2614483725515 0 2.2082 109.849 13.3699 26.1616 1.09802e-05 0.0336007 -0.0203767 2.13874e-05 2149 30. 0.074398 0.078525 19.4412 26.1616 1 2460368.9837269 432120155 53.3917673280578 60.3443732097177 0.984220297354221 1.0173739209779 36.0873586086467 105.374923824679 0.344772814314008 1.06150950082558 null null null null null 2458204.000810 2458337.685266 57
