# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
57771.66,31.33,26.20,o,3
57779.65,0.50,8.74,c,4
57783.65,11.50,12.57,c,8
57787.63,0.89,19.99,c,9
57799.61,-97.33,131.93,o,6
57803.62,-4.80,11.18,c,5
57806.65,-146.50,30.86,o,2
57807.63,-0.60,8.13,c,5
57808.64,-113.00,33.29,o,2
57816.64,-77.67,25.61,o,3
57819.18,-26.57,11.49,o,7
57820.60,-45.00,19.34,o,4
57823.55,-22.75,46.49,o,4
57828.60,-85.50,64.70,o,2
57831.08,-25.07,10.20,o,14
57833.07,-11.25,10.07,o,8
57834.58,-60.67,17.05,o,3
57835.55,-25.29,9.19,c,7
57837.56,-10.67,15.68,o,3
57838.57,-34.40,13.06,o,5
57839.55,-11.75,6.59,c,8
57842.54,-61.71,11.63,o,7
57843.51,-16.00,13.79,c,2
57845.54,-117.78,12.09,o,9
57846.53,-35.50,17.51,o,4
57847.52,-6.40,8.60,c,5
57849.50,-78.00,20.63,o,4
57851.52,-17.60,19.09,o,5
57857.49,24.00,321.00,o,1
57859.17,-6.67,18.11,o,6
57861.54,-40.33,26.22,o,3
57862.54,-50.00,29.73,o,2
57863.52,23.80,8.97,c,5
57865.54,-163.33,37.67,o,3
57866.52,-273.00,91.89,o,3
57869.51,-23.80,17.91,o,5
57871.46,95.40,4.66,c,5
57879.25,147.40,20.07,o,5
57886.90,158.25,14.06,o,8
57891.45,161.00,14.16,o,2
57893.38,-9.33,9.01,o,6
57895.42,125.60,6.46,c,5
57897.36,123.00,10.98,o,3
57898.38,110.33,10.25,o,3
57899.41,128.40,6.04,c,5
57901.37,121.88,7.58,o,8
57902.35,110.86,6.97,o,7
57903.38,109.00,6.05,c,4
57907.04,93.00,27.50,o,3
57909.34,97.00,40.99,o,3
57910.80,94.78,25.84,o,9
57913.34,60.33,136.87,o,3
57914.34,82.38,10.47,o,8
57917.32,67.00,7.28,o,5
57918.30,82.25,6.51,o,4
57922.60,54.27,5.96,o,11
57926.31,42.60,6.53,o,5
57930.31,63.00,6.55,o,8
57934.29,37.75,9.92,o,4
57938.30,46.50,31.85,o,2
57940.32,17.00,15.61,o,3
57942.74,45.86,31.87,o,7
57944.30,46.00,20.30,o,2
57948.28,16.62,6.25,o,8
57950.27,-3.29,6.64,o,7
57954.27,11.50,8.55,o,4
57960.26,5.75,7.91,o,4
57966.26,0.25,13.01,o,4
57971.25,19.00,29.66,o,4
57975.25,-5.75,19.32,o,4
58091.63,12.33,49.51,o,3
58095.65,-20.75,46.49,o,4
58097.65,-8.50,9.86,o,4
58099.65,9.67,36.46,o,3
58103.65,8.00,13.33,o,4
58109.61,31.50,11.60,c,4
58111.63,-17.50,8.27,o,4
58113.63,-2.00,12.00,o,1
58115.63,-21.00,7.76,o,4
58117.66,-12.00,9.17,o,4
58119.62,18.25,20.78,o,4
58121.64,-1.50,12.75,o,2
58123.65,0.00,14.08,o,4
58127.63,-51.75,11.90,o,4
58129.63,-5.25,6.04,o,4
58131.62,4.25,6.75,o,4
58135.65,-13.67,9.72,o,3
58147.63,-20.75,8.10,o,4
58149.52,-32.00,112.00,o,1
58151.62,-14.33,15.21,o,3
58159.16,-10.14,5.69,o,7
58161.60,-5.75,4.02,c,4
58167.57,16.00,38.00,o,1
58173.51,0.00,305.00,o,1
58183.50,-8.75,22.27,o,4
58193.48,-1.00,3.88,c,4
58197.47,-4.00,19.00,c,1
58223.42,-5.33,9.07,o,3
58225.42,8.00,15.69,c,2
58229.42,7.50,42.19,o,2
58233.41,17.67,10.03,o,3
58245.40,13.50,8.85,o,2
58247.38,-5.00,10.57,o,4
58250.39,0.75,4.88,c,4
58251.35,-3.75,7.01,o,4
58255.36,33.00,77.90,o,2
58257.37,8.25,4.88,c,4
58259.37,0.75,7.94,o,4
58261.35,11.75,8.33,o,4
58263.35,16.00,76.00,o,1
58269.32,13.00,9.19,o,4
58271.38,2.25,8.66,o,4
58273.34,-3.75,11.46,o,4
58275.33,-1.50,6.75,o,4
58279.33,2.75,6.29,o,4
58281.33,-7.75,4.50,c,4
58283.32,9.00,6.76,o,4
58285.33,7.25,4.76,c,4
58287.31,18.50,8.40,o,4
58291.31,26.50,18.76,o,4
58293.33,4.25,27.70,o,4
58295.36,-24.25,18.88,o,4
58296.35,32.75,19.55,o,4
58299.36,16.75,20.55,o,4
58309.29,18.50,4.63,c,4
58311.28,7.25,7.54,o,4
58317.28,-79.00,678.77,c,2
58319.27,-41.67,113.28,o,3
58321.27,2.50,16.35,o,4
58323.27,50.33,32.40,o,3
58325.26,8.50,19.06,o,4
58329.26,-20.50,10.98,o,2
58331.25,8.50,9.46,o,4
58333.26,-5.50,12.07,c,4
58337.25,-7.50,22.84,c,4
