# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59533.55,-73.00,42.00,o,1
59539.57,50.00,38.83,o,3
59545.63,5.00,7.91,o,4
59557.50,7.50,9.92,o,2
59561.45,-1.25,8.14,o,4
59565.44,-2.00,21.00,o,1
59566.04,5.00,30.10,o,2
59573.49,-12.00,9.03,o,4
59580.98,1.12,7.91,o,8
59584.98,4.25,9.01,o,4
59587.50,0.00,4.89,c,4
59589.59,-3.00,6.55,o,6
59591.41,-6.00,8.27,o,4
59593.39,9.00,10.42,o,4
59601.49,12.50,11.01,o,4
59602.75,3.17,8.93,o,6
59605.40,5.00,18.38,o,2
59605.93,-19.33,6.94,c,3
59606.87,2.12,4.94,o,8
59608.93,-11.50,5.40,c,4
59609.40,2.75,5.04,o,4
59610.45,3.75,6.15,o,4
59612.45,-7.75,6.13,o,4
59613.45,-1.12,4.38,c,8
59614.37,2.57,21.88,c,7
59615.35,2.00,6.26,o,4
59616.89,-7.88,5.41,c,8
59617.04,13.09,5.75,o,11
59619.00,7.00,4.76,o,7
59620.67,37.75,4.65,o,12
59622.33,39.50,8.15,o,4
59627.48,118.75,34.77,o,4
59628.45,120.86,23.60,o,7
59631.13,113.36,22.43,o,11
59632.42,103.00,8.14,o,4
59633.40,121.50,5.88,c,4
59635.44,117.50,7.89,o,4
59636.42,108.75,6.51,o,4
59636.77,122.43,3.95,c,7
59638.37,125.00,5.55,c,4
59639.39,114.00,7.64,o,4
59640.32,124.67,5.40,c,3
59640.47,109.50,6.13,o,4
59643.00,117.17,5.47,o,6
59644.34,109.75,6.01,o,4
59644.70,89.83,22.90,c,6
59646.69,111.00,7.71,o,11
59648.85,101.33,5.35,o,9
59650.31,91.00,8.71,o,8
59655.28,106.27,34.05,o,11
59657.34,90.75,9.51,o,4
59658.85,91.12,6.11,o,8
59660.31,92.00,5.54,o,8
59661.32,71.50,12.86,c,4
59662.34,69.67,17.48,c,3
59663.31,85.00,6.00,o,4
59664.34,81.50,6.79,o,4
59664.95,67.50,4.77,c,6
59666.33,61.75,5.26,c,4
59667.17,116.38,20.80,o,8
59669.33,66.75,4.89,c,4
59670.38,53.50,7.38,c,4
59671.31,86.25,7.65,o,4
59672.29,82.25,7.25,o,4
59674.99,65.50,14.31,o,4
59676.79,66.25,7.06,c,8
59682.81,89.88,8.91,o,8
59684.27,74.75,15.01,o,4
59689.27,68.25,6.01,o,4
59690.31,37.75,5.27,c,4
59691.35,57.00,11.25,o,3
59692.26,66.25,11.35,o,4
59693.31,33.33,34.71,c,3
59694.25,36.00,6.25,c,4
59695.26,64.00,8.01,o,4
59696.33,51.75,7.77,o,4
59697.26,31.67,13.47,c,3
59698.32,46.00,5.28,c,4
59699.31,71.00,14.02,o,4
59708.26,34.50,23.35,o,2
59710.75,58.83,8.43,o,12
59712.59,57.71,13.43,o,7
59714.78,47.00,10.28,o,8
59717.27,60.25,7.14,o,4
59720.31,52.25,21.15,o,4
59722.27,30.75,7.01,c,4
59723.26,54.75,10.01,o,4
59724.27,60.50,9.78,o,4
59725.27,12.00,7.77,c,4
59726.27,33.00,7.39,c,4
59728.26,21.00,69.00,o,1
59730.26,24.86,24.22,c,7
59739.26,73.50,21.31,o,4
59741.26,67.00,32.87,o,3
59831.62,29.60,19.18,o,5
59836.62,3.00,14.44,o,4
59839.19,23.14,10.48,o,7
59846.64,34.75,13.10,o,4
59847.60,-2.50,7.83,c,4
59849.63,34.75,10.42,o,4
59852.63,4.75,7.19,c,4
59854.63,31.50,11.12,o,4
59855.60,12.50,7.47,c,4
59860.59,17.33,27.01,o,3
59863.14,-4.57,28.14,o,7
59864.63,18.00,8.42,o,4
59867.64,29.67,10.43,o,3
59868.59,27.67,10.06,o,3
59875.63,14.80,5.69,o,5
59876.56,21.50,5.65,o,4
59880.60,17.00,6.02,o,4
59881.63,3.00,6.85,c,4
59882.62,6.20,4.96,c,5
59883.60,9.75,6.51,o,4
59884.58,39.50,27.93,o,4
59885.61,3.25,6.26,c,4
59887.58,22.33,7.70,o,3
59889.61,26.50,8.30,o,4
59890.60,7.75,9.63,o,4
59893.41,18.67,9.17,o,6
59895.53,29.25,8.66,o,4
59899.58,23.00,7.88,o,4
59902.57,18.50,8.51,o,2
59903.58,0.00,4.34,c,5
59904.57,-5.00,3.34,c,6
59906.57,18.25,5.14,o,8
59907.59,-1.70,3.02,c,10
59908.54,2.67,3.20,c,6
59909.62,16.88,5.52,o,8
59913.53,19.00,6.31,o,4
59914.53,17.25,5.64,o,4
59957.49,18.75,4.66,o,8
59958.42,0.62,4.63,o,8
59966.41,13.00,6.01,o,4
59969.47,9.00,5.71,o,4
59970.57,6.75,6.90,o,4
59985.19,-4.38,9.69,o,8
59987.93,11.75,8.92,o,4
59989.16,1.67,7.51,c,3
59993.21,-7.50,6.16,c,4
59997.20,9.75,7.01,c,4
59998.35,3.00,5.30,c,4
60001.23,1.00,6.15,c,4
60001.39,12.50,8.42,o,4
60003.88,8.67,12.33,o,3
60005.09,38.25,19.77,o,4
60011.91,-1.75,15.96,o,4
60013.01,5.12,8.51,o,8
60015.41,22.00,6.83,o,10
60017.09,0.75,7.26,o,4
60018.36,24.00,8.03,o,6
60019.90,-2.50,8.66,c,4
60021.24,23.90,7.03,o,10
60022.24,3.00,6.03,o,4
60025.09,5.25,6.53,o,4
60029.23,19.58,4.75,o,12
60030.30,2.33,6.39,o,6
60038.71,21.89,29.54,o,9
60041.30,0.75,11.90,o,4
60042.61,10.00,8.53,o,7
60044.06,9.00,12.94,o,3
60045.32,1.00,28.99,c,2
60047.37,2.00,6.91,c,4
60049.29,-4.75,6.25,c,4
60050.66,4.12,4.83,c,8
60055.36,-2.62,4.39,c,8
60056.84,0.67,8.65,c,3
60059.26,16.33,9.07,o,3
60067.27,-2.25,11.27,o,4
60068.65,20.67,15.18,o,6
60071.26,-10.75,7.91,o,4
60074.02,7.50,9.41,o,8
60077.25,2.00,9.90,c,2
60079.26,0.33,7.52,c,3
60080.00,53.00,24.00,o,1
60080.03,25.00,17.73,o,3
60097.96,63.29,35.04,o,7
60099.26,130.50,167.01,o,2
