,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,59197.624769,-22.695,2.857,-3,9,c,0,1.3,200.47854,16.74437,7654.48,5494.34,2.82,2.69,-72.5,-0.365,19.61,21.63,01a59197o0750c
1,59197.62846,-21.498,0.93,-9,8,c,0,1.4,200.47854,16.74437,7638.24,5460.85,3.04,2.66,-7.0,-0.407,19.56,21.62,01a59197o0758c
2,59197.64606,-21.106,0.549,-13,7,c,0,1.83,200.47854,16.74437,7699.81,5537.1,2.76,2.48,-6.8,-0.373,19.63,21.6,01a59197o0796c
3,59197.657132,-20.597,0.471,-21,10,c,0,1.26,200.47854,16.74437,7720.58,5421.42,3.01,2.43,-2.3,-0.356,19.4,20.98,01a59197o0820c
4,59205.619909,-20.859,0.489,-16,8,c,0,1.12,200.47854,16.74437,7462.46,1617.44,2.59,2.5,-53.1,-0.391,19.81,21.6,01a59205o0844c
5,59205.631976,-21.772,1.288,-7,9,c,0,0.88,200.47854,16.74437,7443.94,1576.7,2.53,2.45,-32.4,-0.393,19.8,21.62,01a59205o0868c
6,59205.648336,-20.865,0.434,-16,7,c,0,1.42,200.47854,16.74437,7500.74,1654.61,2.49,2.36,-53.2,-0.39,19.88,21.64,01a59205o0903c
7,59205.65734,-22.261,1.939,-4,9,c,0,1.39,200.47854,16.74437,7522.28,1539.32,2.89,2.6,-7.4,-0.365,19.63,21.28,01a59205o0921c
8,59207.626309,20.703,0.425,19,8,c,0,1.36,200.47854,16.74437,4556.96,3332.62,2.38,2.35,67.0,-0.404,19.7,21.54,02a59207o0876c
9,59207.63135,-21.951,1.312,-6,8,c,0,1.17,200.47854,16.74437,4578.88,3370.43,2.4,2.36,-83.6,-0.399,19.72,21.54,02a59207o0886c
10,59207.65111,-21.08,0.636,-13,8,c,0,1.23,200.47854,16.74437,4520.83,3294.83,2.41,2.37,-63.7,-0.402,19.72,21.53,02a59207o0927c
11,59207.653864,22.397,2.0,4,8,c,0,1.33,200.47854,16.74437,4502.68,3410.57,2.45,2.41,-80.8,-0.399,19.68,21.49,02a59207o0933c
12,59209.633191,20.677,0.497,20,10,o,0,1.43,200.47854,16.74437,2171.63,7434.29,2.29,2.19,-5.8,-0.4,19.56,20.95,01a59209o0935o
13,59209.636419,20.905,0.575,16,9,o,0,1.21,200.47854,16.74437,2151.94,7397.32,2.06,1.92,-70.7,-0.424,19.68,20.91,01a59209o0942o
14,59209.646242,20.181,0.312,31,10,o,0,1.45,200.47854,16.74437,2210.95,7476.45,2.55,2.04,-9.1,-0.406,19.52,20.9,01a59209o0962o
15,59209.652079,-21.882,1.561,-6,10,o,0,1.18,200.47854,16.74437,2230.71,7360.87,2.33,2.0,-7.4,-0.41,19.57,20.85,01a59209o0973o
16,59209.664589,19.733,0.376,46,18,o,0,1.1,200.47854,16.74437,2191.14,7421.48,2.23,2.16,-57.6,-0.407,19.04,19.72,01a59209o0997o
17,59217.606968,20.313,0.635,27,17,o,0,0.92,200.47854,16.74437,3283.2,3265.43,2.33,2.31,-39.3,-0.403,19.01,19.72,01a59217o0889o
18,59217.619825,-22.198,3.157,-5,15,o,0,1.25,200.47854,16.74437,3261.29,3223.84,2.1,2.08,-46.1,-0.42,19.19,19.81,01a59217o0916o
19,59217.623521,20.179,0.5,31,15,o,0,1.36,200.47854,16.74437,3320.41,3301.3,2.15,2.05,-28.3,-0.41,19.17,19.85,01a59217o0924o
20,59217.632387,20.538,0.726,22,16,o,0,1.49,200.47854,16.74437,3339.54,3187.74,2.47,2.14,4.8,-0.422,18.96,19.7,01a59217o0942o
21,59219.620553,20.947,1.358,15,21,o,0,0.86,200.47854,16.74437,3049.96,987.82,2.06,1.92,-61.8,-0.479,18.92,19.56,02a59219o0819o
22,59219.652163,-21.422,1.727,-10,17,o,0,1.27,200.47854,16.74437,3074.86,1027.85,2.05,1.89,-63.1,-0.476,18.95,19.62,02a59219o0883o
23,59219.656499,20.639,0.958,20,19,o,0,0.78,200.47854,16.74437,3017.67,950.7,2.12,1.95,-60.8,-0.477,18.93,19.62,02a59219o0892o
24,59219.668639,-19.781,0.335,-44,15,o,0,1.91,200.47854,16.74437,2998.82,1067.93,2.04,1.92,-60.1,-0.477,18.78,19.26,02a59219o0916o
25,59221.608428,20.504,0.513,23,12,o,0,0.99,200.47854,16.74437,3278.04,3260.26,2.38,2.36,-64.5,-0.405,19.45,20.8,01a59221o0841o
26,59221.613528,22.016,1.818,6,10,o,0,1.07,200.47854,16.74437,3259.77,3221.87,2.73,2.29,3.0,-0.377,19.37,20.84,01a59221o0852o
27,59221.616755,20.653,0.58,20,12,o,0,1.2,200.47854,16.74437,3319.03,3300.52,2.5,2.2,12.7,-0.388,19.47,20.8,01a59221o0859o
28,59221.622692,22.607,3.947,3,13,o,0,1.43,200.47854,16.74437,3336.87,3185.06,2.61,2.49,-87.8,-0.399,19.18,21.22,01a59221o0871o
29,59229.5855,-20.814,0.405,-17,7,c,0,0.95,200.47854,16.74437,7942.54,7132.58,2.37,2.27,-70.0,-0.389,19.96,21.93,01a59229o0521c
30,59229.589662,-21.872,1.115,-6,7,c,0,1.44,200.47854,16.74437,7923.8,7093.32,2.71,2.48,4.2,-0.364,19.83,21.94,01a59229o0530c
31,59229.596113,22.163,1.167,5,6,c,0,1.5,200.47854,16.74437,7982.63,7171.31,2.62,2.45,-15.7,-0.367,19.85,21.95,01a59229o0544c
32,59229.630456,-20.29,0.263,-28,7,c,0,0.91,200.47854,16.74437,8001.85,7052.87,2.38,2.28,-82.4,-0.389,19.97,22.01,01a59229o0614c
33,59231.552546,-21.888,1.195,-6,8,c,0,1.45,200.47854,16.74437,9253.91,7190.77,2.69,2.6,39.0,-0.401,19.82,21.82,02a59231o0737c
34,59231.554842,21.127,0.7,13,9,c,0,1.11,200.47854,16.74437,9274.22,7229.75,2.69,2.66,49.2,-0.405,19.79,21.82,02a59231o0742c
35,59231.568004,-23.301,4.917,-2,8,c,0,1.03,200.47854,16.74437,9215.15,7153.67,2.6,2.52,49.7,-0.403,19.83,21.86,02a59231o0761c
36,59231.574003,23.085,3.714,2,8,c,0,1.23,200.47854,16.74437,9195.6,7270.59,2.66,2.58,44.6,-0.404,19.83,21.86,02a59231o0774c
37,59233.527196,-17.347,0.983,-418,411,c,0,0.92,200.47854,16.74437,9506.0,3474.9,3.26,2.38,-87.1,-0.412,15.49,17.61,01a59233o0222c
38,59243.566293,-21.164,2.383,-12,30,o,0,1.11,200.47854,16.74437,7368.58,9244.89,2.63,2.4,-51.6,-0.421,18.72,19.15,02a59243o0288o
39,59243.570074,20.002,0.574,36,21,o,0,1.26,200.47854,16.74437,7391.11,9286.92,2.58,2.23,-54.2,-0.429,18.79,19.19,02a59243o0296o
40,59243.575479,-20.587,1.448,-21,31,o,0,0.88,200.47854,16.74437,7329.15,9207.54,2.58,2.36,-55.8,-0.419,18.79,19.21,02a59243o0307o
41,59243.58073,20.713,0.984,19,18,o,0,1.5,200.47854,16.74437,7311.78,9324.67,2.61,2.44,-36.5,-0.413,18.77,19.27,02a59243o0318o
42,59244.519063,20.925,1.384,16,21,o,0,1.24,200.47854,16.74437,5618.31,9666.93,2.31,2.07,-1.0,-0.363,18.76,19.18,01a59244o0686o
