# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.8 on 2024-09-29 at 14:34:57
#
# Requested input R.A. = 110.06974999999998 degrees
# Requested input Dec. = 41.346630555555556 degrees
# Requested JD start = 2458277.9659953704 days
# Requested JD end = 2458877.9659953704 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://irsa.ipac.caltech.edu/data/ZTF/docs/forcedphot.pdf
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 706 9 3 ZTF_g 590487823515 0 2.8518 135.686 6.16683 25.8115 9.2973e-06 0.0385429 0.00552823 2.11653e-05 1155 30. 0.073493 0.071572 19.8521 25.8115 1 2458344.9878241 706120135 -29.623020591223 36.1154985977955 -0.91241102965366 1.03956517549177 12.2558990928996 52.8715582087333 0.233366363626376 1.19029311615985 3.0740184600183 19.0870000839233 0.105999998748302 3.9300000667572 0.28600001335144 2458166.677732 2458369.992558 0
 1 706 9 3 ZTF_g 596470913515 0 2.7154 139.206 5.34515 25.8352 8.3333e-06 0.0375323 0.000402092 1.85021e-05 1202 30. 0.06541 0.06481 20.1291 25.8352 1 2458350.9709144 706120135 -32.9722699935359 30.8861730525324 -1.18751621401081 1.01271224592649 -39.6500830356096 46.211460435909 -0.863792839472788 1.19280776724777 3.0740184600183 19.0870000839233 0.105999998748302 3.9300000667572 0.28600001335144 2458166.677732 2458369.992558 0
 2 706 9 3 ZTF_r 596505493515 0 1.8167 152.56 13.1678 26.0122 4.106e-06 0.0286235 0.0973101 7.79276e-06 1341 30. 0.042197 0.040327 19.4459 26.0122 1 2458351.0054977 706120235 76.5817667608507 51.6878839430802 1.64812986692984 1.07683222012765 107.49353486642 98.849513229344 1.09477028740948 1.04638390497654 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 3 706 9 3 ZTF_r 599508413515 0 1.8006 181.352 9.64824 26.2005 2.7093e-06 0.0231387 0.0972921 5.15268e-06 1330 30. 0.047154 0.045496 19.9852 26.2005 3 2458354.0084144 706120235 3.17275817740619 38.0921137626412 0.0926524057784887 0.959608309922106 47.9622599212665 73.9653879709658 0.65280923721098 1.0407761523209 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 4 706 9 3 ZTF_r 599509313515 0 1.9606 182.945 10.2745 26.2117 2.7273e-06 0.0232848 0.0930026 5.18364e-06 1333 30. 0.0409 0.039366 19.856 26.2117 1 2458354.0093171 706120235 -3.03509404735519 44.7439707514981 -0.0754557658860725 0.895206409643692 -110.042583812047 84.8768703165893 -1.30522869813755 1.04392880797014 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 5 706 9 3 ZTF_r 602506993515 0 2.0631 187.761 15.7347 26.2355 4.1394e-06 0.0286901 0.101792 7.87092e-06 1340 30. 0.042471 0.047314 19.3612 26.2355 3 2458357.0069907 706120235 -1.91037366608708 69.8742701848269 -0.0304127603057078 1.08600002962505 -10.1632882983339 126.078436615679 -0.0811537555859462 1.05558294683333 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 6 706 9 3 ZTF_r 602511633515 0 1.9215 189.526 17.5262 26.2502 4.5055e-06 0.0298819 0.094502 8.55714e-06 1337 30. 0.036492 0.042203 19.3128 26.2502 1 2458357.0116319 706120235 -27.252752140677 73.8116224157507 -0.410714859797704 1.06481167681386 82.9969639635065 139.474639193917 0.599076317916496 1.04908406400881 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 7 706 9 3 ZTF_r 603494273515 0 2.6589 185.59 13.5036 26.2254 5.5692e-06 0.0333441 0.0965814 1.05347e-05 1346 30. 0.057139 0.050071 19.3197 26.2254 3 2458357.9942708 706120235 -68.3580035047818 67.1477407902336 -1.13243365006139 1.14069563621115 20.274804516916 107.429309546967 0.189998023611264 1.06479245284132 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
 8 706 9 3 ZTF_r 604467543515 0 2.8034 179.079 13.0124 26.1824 5.8855e-06 0.034088 0.102044 1.12088e-05 1336 30. 0.055649 0.050848 19.2906 26.1824 3 2458358.9675463 706120235 151.513574782424 73.6814732488239 2.28743122457863 1.00863434331542 185.023361773561 112.99183718128 1.648521781813 1.07655627994418 3.29839567687352 18.5729998588562 0.0989999994635582 3.99600005149841 0.0590000003576279 2458154.697824 2458227.645903 0
